股票代码,股票名称,市场板块,所属级别,形态名称,形态英文,信号方向,出现日期,信号强度,放量倍数,现价,涨跌幅%,近一年涨停次数,多级别共振
603082,北自科技,上证,月线,看涨吞没,Bullish Engulfing,看涨,2026-05-29,100,2.94,35.66,5.01,8,是
000830,鲁西化工,深证,周线,启明星,Morning Star,看涨,2026-07-24,100,0.95,12.39,5,2,是
002482,广田集团,深证,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,100,0.92,1.26,5,1,是
002482,广田集团,深证,周线,启明星,Morning Star,看涨,2026-07-31,100,0.92,1.26,5,1,是
300871,回盛生物,创业,日线,看涨吞没,Bullish Engulfing,看涨,2026-08-14,100,1.81,24.37,5,1,是
300953,震裕科技,创业,日线,看涨吞没,Bullish Engulfing,看涨,2026-08-11,86.6,1.3,105.68,5,0,否
600593,大连圣亚,上证,月线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,91.4,0.68,37.83,5,6,否
688016,心脉医疗,科创,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,100,0.71,93.45,5,0,否
600031,三一重工,上证,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-24,100,1.02,19.58,4.99,0,是
600862,中航高科,上证,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,86.5,0.77,18.73,4.99,1,否
000530,冰山冷热,深证,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,86,0.45,4.85,4.98,4,否
300428,立中集团,创业,周线,启明星,Morning Star,看涨,2026-07-31,100,0.81,18.98,4.98,0,否
688013,天臣医疗,科创,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,99.6,1.11,23.41,4.98,0,是
000755,山西高速,深证,月线,看涨吞没,Bullish Engulfing,看涨,2026-05-29,100,0.7,5.28,4.97,1,是
002997,瑞鹄模具,深证,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,88.7,0.55,26.41,4.97,2,否
300718,长盛轴承,创业,日线,看涨吞没,Bullish Engulfing,看涨,2026-08-11,92.2,1.61,68.66,4.97,1,是
603897,长城科技,上证,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,100,0.66,24.5,4.97,11,是
000656,金科股份,深证,月线,启明星,Morning Star,看涨,2026-08-14,100,1.11,1.27,4.96,4,是
300009,安科生物,创业,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,99.5,0.87,8.26,4.96,0,是
300140,节能环境,创业,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-17,90.7,0.51,5.29,4.96,0,否
603197,保隆科技,上证,月线,启明星,Morning Star,看涨,2026-08-14,100,0.28,30.4,4.94,1,是
688543,国科军工,科创,月线,看涨吞没,Bullish Engulfing,看涨,2026-08-14,100,0.5,39.76,4.94,0,是
688570,天玛智控,科创,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,100,0.67,14.67,4.94,0,是
002531,天顺风能,深证,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,100,0.88,6.38,4.93,1,是
